,Unnamed: 0,Source,Title,Content,Section,URL,Date
19,19,expansion,microsoft confiar méxico ; invertir 1.300 mdd ampliar alcance ia,"ceo compañía , satyar nadella , destacar capital ser mejorar capacidad nube ia región .",tecnologia,https://expansion.mx/tecnologia/2024/09/24/microsoft-invertira-1-300-mdd-mexico-ampliar-alcance-ia,24/09/2024
20,20,expansion,guía elegir mejor antivirus celular,ataque teléfono inteligente vez ser más común aquí decir deber tener cuenta hora elegir mejor protección .,tecnologia,https://expansion.mx/tecnologia/2024/09/24/guia-para-elegir-el-mejor-antivirus-para-tu-celular,24/09/2024
21,21,expansion,ia ayuda industria ahorrar 35.000 dólares hora,"través sensor software ia , empresa tractian haber lograr rastrear sonido máquina interpretarla posible falla técnico .",tecnologia,https://expansion.mx/tecnologia/2024/09/24/asi-ayuda-ia-industrias-ahorrar-hasta-35-000-dolares,24/09/2024
22,22,expansion,netflix prime video amazon liderar queja streaming,"agosto año , ambos empresa recibir inconformidad parte usuario cobro indebido alteración precio , asegurar profeco expansión través transparencia .",tecnologia,https://expansion.mx/tecnologia/2024/09/23/plataformas-de-streaming-con-mas-quejas-profeco,23/09/2024
23,23,expansion,¿ ser funcionar nuevo categoría canal whatsapp ?,"nuevo organización directorio canales , whatsapp pretender hacer más sencillo navegación usuario .",tecnologia,https://expansion.mx/tecnologia/2024/09/23/nuevas-categorias-de-canales-en-whatsapp,23/09/2024
24,24,expansion,"intel , nuevo objeto deseo industria tech","empresa pionero industria chip haber ser objeto nuevo rumor posible adquisición parte qualcomm , así inversión firma capital .",tecnologia,https://expansion.mx/tecnologia/2024/09/23/intel-el-nuevo-objeto-del-deseo-en-la-industria-tech,23/09/2024
25,25,expansion,"india , país querer ser potencia industria semiconductor","estados unidos india anunciar alianza construir planta chip país , gobierno bidir definir “ punto inflexión ” .",tecnologia,https://expansion.mx/tecnologia/2024/09/23/india-quiere-ser-potencia-en-la-industria-de-semiconductores,23/09/2024
26,26,expansion,amlo buscar convertir cfe telecom empresa público,"iniciativa reforma querer cfe teit ser principal compañía proveer internet país , respecto competidor , cambiar estatu estatal público .",tecnologia,https://expansion.mx/tecnologia/2024/09/23/amlo-busca-convertir-a-cfe-telecom-en-una-empresa-publica,23/09/2024
27,27,expansion,cfe telecom perfilar nuevo ceo impulsar proyecto internet,"dos fuente conocimiento tema , interior compañía haber poner mesa nombre emiliano calderón mercado ser nuevo ceo estatal telecomunicación .",tecnologia,https://expansion.mx/tecnologia/2024/09/22/cfe-telecom-perfila-nuevo-ceo,22/09/2024
28,28,expansion,caliente pasar anunciar apuesta transmitir champions league,compañía haber entrar ‘ guerra streaming deportivo ’ captar parte nicho mercado consolidar principal negocio : apuesta .,tecnologia,https://expansion.mx/tecnologia/2024/09/22/caliente-champions-league,22/09/2024
29,29,expansion,ser audiencia querer conquistar iphone 16,"apple ser consciente usuario iphone 15 difícilmente ir renovar smartphone , haber segmento poder seducir .",tecnologia,https://expansion.mx/tecnologia/2024/09/20/iphone-16-esta-es-la-audiencia-que-quiere-conquistar,20/09/2024
30,30,expansion,microsoft usar energía nuclear alimentar inteligencia artificial,acuerdo microsoft constellation energy permitir reactivar unidad planta nuclear threir mile island cubrir creciente necesidad energético .,tecnologia,https://expansion.mx/tecnologia/2024/09/20/microsoft-energia-nuclear-inteligencia-artificial,20/09/2024
31,31,expansion,onu formular siete recomendación regular ia,onu crear año pasado órgano consultivo 39 miembro abordar problema regulación internacional ia .,tecnologia,https://expansion.mx/tecnologia/2024/09/20/la-onu-formula-siete-recomendaciones-para-regular-la-ia,20/09/2024
32,32,expansion,"ia decidir ser no apto trabajo , ¿ hacer ver ?","ia sí haber demostrar poder ser aliada espacio aplicar , sesgo poder presentar aún ser inconveniente .",tecnologia,https://expansion.mx/tecnologia/2024/09/20/la-ia-decide-si-eres-o-no-apto-para-un-trabajo-que-hacer-para-que-te-vea,20/09/2024
33,33,expansion,amazon prime mgm studio unir mpa,empresa entretenimiento unir netflix paramount pictur .,tecnologia,https://expansion.mx/tecnologia/2024/09/19/amazon-prime-y-mgm-studios-se-unen-a-la-mpa,19/09/2024
34,34,expansion,amazon lanzar nuevo bot ayudar crecer venta,empresa dar conocer amelia obtener dato venta inventario negocio estar plataforma .,tecnologia,https://expansion.mx/tecnologia/2024/09/19/amazon-lanza-un-nuevo-bot-que-te-ayudara-a-crecer-las-ventas,19/09/2024
35,35,expansion,playstation lanza edición limitado aspecto noventero,"consola evocar aspecto primero equipo , lanzado sony 1994 , formar parte celebración 30 año .",tecnologia,https://expansion.mx/tecnologia/2024/09/19/playstation-lanza-edicion-limitada-30-aniversario,19/09/2024
36,36,expansion,usuario reportar alerta sísmico nunca llegar celular,ift haber asegurar hoy empresa enviarir mensaje emergencia sismos nunca llegar . telcel asegurar alerta depender regulador .,tecnologia,https://expansion.mx/tecnologia/2024/09/19/por-que-no-me-llego-mensaje-alerta-sismica-celular,19/09/2024
37,37,expansion,televisaunivision nombra nuevo ceo exdirectivo google,"tratar daniel alegre , sustitución wade davis , contar amplio experiencia empresa tecnología trabajar comunidad hispano eu , méxico américa latino .",tecnologia,https://expansion.mx/tecnologia/2024/09/19/televisaunivision-nuevo-ceo-exdirectivo-de-google,19/09/2024
38,38,expansion,inversión conectividad no caer pese política judicial : neutral networks,"ceo compañía neutral networks , enfocado infraestructura crítico , decir necesidad conectividad nivel usuario empresa ser más fuerte agenda política .",tecnologia,https://expansion.mx/tecnologia/2024/09/19/reforma-judicial-riesgo-confianza-invertir-telecomunicaciones,19/09/2024
39,39,expansion,nintendo the pokémon company demandar creador palworld,"empresa japonés iniciar acción legal contra pocketpair , debido infracción patente desarrollar llamado “ pokémon arma ” .",tecnologia,https://expansion.mx/tecnologia/2024/09/19/nintendo-y-the-pokemon-company-demandan-al-creador-de-palworld,19/09/2024
40,40,expansion,televisaunivisión sustituir wade davis director general,empresa decidir sustituir davis daniel alegre debido resultado compañía caer debajo expectativa interno .,tecnologia,https://expansion.mx/tecnologia/2024/09/18/televisaunivision-sustituira-a-wade-davis-como-director-general,19/09/2024
41,41,expansion,youtube presentar io hacer video ganar ‘ más ’ dinero,empresa llevar cabo made on youtubar evento también señalar número creador obtener mayor parte ingreso venir tv .,tecnologia,https://expansion.mx/tecnologia/2024/09/18/youtube-presenta-ia-para-hacer-videos-y-ganar-mas-dinero,18/09/2024
42,42,expansion,ia generativo transformar operación ingreso empresarial,"uso ia generativo haber crecer sector , impulsar innovación facilitar nuevo forma operar organización .",tecnologia,https://expansion.mx/tecnologia/2024/09/18/ia-generativa-transforma-operacion-e-ingresos-empresariales,18/09/2024
43,43,expansion,amazon agregar paypal método pago pedido comprar prime,"nuevo opción estar disponible usuario realizar compra sitios web tercero , membresía prime .",tecnologia,https://expansion.mx/tecnologia/2024/09/18/amazon-agrega-a-paypal-como-metodo-de-pago-prime,18/09/2024
44,44,expansion,google salir multa antimonopolio 1.670 mmd,caso comenzar supuesto dominio anticompetitivo empresa mercado publicidad línea .,tecnologia,https://expansion.mx/tecnologia/2024/09/18/google-se-salva-de-una-multa-presunto-monopolio,18/09/2024
45,45,expansion,e-commerce chino conquista bolsa valor,"dueño alibar , temu conquistar e-commerce mundo , diversificar negocio .",tecnologia,https://expansion.mx/tecnologia/2024/09/18/el-e-commerce-chino-conquista-las-bolsas-de-valores,18/09/2024
46,46,expansion,gasto consumidor eu aumentar agosto ; inflación desacelera,"gasto consumidor seguir apoyar él ganancia salarial aún sólido , pesar mercado laboral haber ralentizar considerablemente .",economia,https://expansion.mx/economia/2024/09/27/gasto-consumidores-eu-aumenta-agosto-inflacion-desacelera,27/09/2024
47,47,expansion,méxico registrar déficit comercial 4.868 mdd agosto,"exportación mexicano caer 1% importación crecer 5.7% , acuerdo inegi .",economia,https://expansion.mx/economia/2024/09/27/balanza-comercial-mexico-agosto-2024-inegi,27/09/2024
48,48,expansion,banxico mantener prudencia cerrar año tasa 10%,analista considerar mensaje banco central ser más laxo decisión agosto esperar haber dos recorte más 25 punto base .,economia,https://expansion.mx/economia/2024/09/27/banxico-mantendra-prudencia-y-cerrara-el-ano-con-tasa-en-10,27/09/2024
49,49,expansion,banxico ejecuto nuevo recorte tasa 10.5%,banco central hacer segundo recorte consecutivo tasa referencia contexto menor inflación .,economia,https://expansion.mx/economia/2024/09/26/banxico-recorta-tasa-de-referencia-segunda-ocasion,26/09/2024
50,50,expansion,janet yellen oponer reducir requisito capital banco,secretaria tesoro estados unidos pedir seguir trabajar sistema financiero ser resistente tiempo turbulencia .,economia,https://expansion.mx/economia/2024/09/26/yellen-se-opone-bajar-capital-bancos,26/09/2024
51,51,expansion,claudia sheinbaum recibir economía tocado incertidumbre,paquete 20 reforma presentar amlo febrero año amenazar limitar crecimiento potencial méxico .,economia,https://expansion.mx/economia/2024/09/26/sheinbaum-recibe-economia-incertidumbre-reformas,26/09/2024
52,52,expansion,búsqueda segundo empleo disparar entidad ; morelos encabezar,"méxico , dentro población subocupado , 328.971 persona estar condición búsqueda trabajo adicional , indicar cifra inegi segundo trimestre 2024 .",economia,https://expansion.mx/economia/2024/09/26/busqueda-segundo-empleo-se-dispara-varias-entidades,26/09/2024
53,53,expansion,ser poco probable méxico perder grado inversión : moody's,"agencia señalar mayor déficit fiscal , absorber deuda pemex bajo crecimiento sí poder impactar calidad crediticio .",economia,https://expansion.mx/economia/2024/09/25/poco-probable-mexico-pierda-grado-inversion-moodys,25/09/2024
54,54,expansion,revolut planear operar primero mes 2025,"juan guerra , director general firma , decir esperar arrancar operación siguiente año cuenta débito nivel 4 transferencia internacional .",economia,https://expansion.mx/economia/2024/09/25/revolut-planea-operar-en-los-primeros-meses-de-2025,25/09/2024
55,55,expansion,"pemex requerir 50.200 mdd tres primero año sheinbaum , prever moody's","apoyo gobierno calificación real pemex ser ca , es decir 80% incumplimiento compromiso financiero .",economia,https://expansion.mx/economia/2024/09/25/pemex-requerira-50-200-mdd-primeros-anos-sheinbaum-moodys,25/09/2024
56,56,expansion,condusef alerta suplantación identidad 24 financiera,veinticuatro institución debidamente constituido haber reportar suplantación identidad cometer fraude usuario .,economia,https://expansion.mx/economia/2024/09/25/condusef-alerta-por-suplantacion-de-identidad-de-financieras,25/09/2024
57,57,expansion,¿ abrir banco 1 octubre ? decir calendario cnbv,"1 octubre , claudia sheinbaum tomar posesión primero presidenta méxico , implicar suceso trascendencia nacional , mayoría empleado descansar .",economia,https://expansion.mx/economia/2024/09/25/abren-bancos-1-octubre-2024-calendario-cnbv,25/09/2024
58,58,expansion,mercado pago hacer oficial : presentar solicitud ser banco digital,cuenta digital buscar aprobación licencia bancario comisión nacional bancario valor ofrecer servicio banca múltiple .,economia,https://expansion.mx/economia/2024/09/25/mercado-pago-banco-mexico-permiso-cnbv,25/09/2024
59,59,expansion,banxico sólo tener espacio hacer recorte 25 punto,analista considerar banco central deber tener cautela bajar tasa periodo volatilidad descartar hacer recorte 50 punto hacer reserva federal .,economia,https://expansion.mx/economia/2024/09/25/por-que-banxico-no-puede-hacer-recortes-50-puntos-tasa,25/09/2024
60,60,expansion,ocde ajusta baja previsión pib méxico,"acuerdo organismo , economía mexicano crecer 1.4% año , 0.8% menos previsión anterior .",economia,https://expansion.mx/economia/2024/09/25/ocde-crecimiento-pib-mexico-2024-1-4,25/09/2024
61,61,expansion,bbva mantener confianza méxico transición presidencial,"país seguir ser atractivo largo plazo gracias estructura costo apalancamiento comparación estados unidos , decir onur genç , consejero delegado bbva .",economia,https://expansion.mx/economia/2024/09/25/bbva-mantiene-su-confianza-en-mexico-ante-la-transicion-presidencial,25/09/2024
62,62,expansion,chino recorto tasa interés impulsar economía,"interés préstamo año concedido institución financiero reducir 2.3 2% , informar banco central .",economia,https://expansion.mx/economia/2024/09/25/china-recorta-otra-tasa-de-interes-para-impulsar-la-economia,25/09/2024
63,63,expansion,austeridad selectivo predominar gobierno amlo,"más recorte gasto oneroso generar ahorro , gasto público llegar nivel récord , obedecer prioridad obligación gobierno cargo andrés manuel lópez obrador .",economia,https://expansion.mx/economia/2024/09/25/austeridad-gobierno-amlo,25/09/2024
64,64,expansion,mexicano gastar 12% más bebida energético,dato kantar mostrar último año haber aumentar tanto número litro comprado precio tipo bebida .,economia,https://expansion.mx/economia/2024/09/24/mexicanos-gastan-12-mas-en-bebidas-energeticas,24/09/2024
65,65,expansion,trump amago arancel 100% auto entrar frontera méxico,candidato presidencial decir único manera librar cuota ser querer construir planta estados unidos .,economia,https://expansion.mx/economia/2024/09/24/trump-amaga-arancel-100-autos-entren-frontera-mexico,24/09/2024
66,66,expansion,"cet dos año reducir rendimiento dígito , anticipar recorte banxico","plazo cet reducir ganancia , plazo dos año ofrecer tasa más bajo 9.92% , espera banxico hacer nuevo recorte .",economia,https://expansion.mx/economia/2024/09/24/cetes-a-dos-anos-reducen-rendimientos-a-un-digito-anticipa-recorte-de-banxico,24/09/2024
67,67,expansion,openbank lanza lista espera cliente mexicano,openbank méxico abrir sitio web lista espera usuario querer acceder oferta nuevo banco digital .,economia,https://expansion.mx/economia/2024/09/24/openbank-lanza-lista-de-espera-para-clientes-mexicanos,24/09/2024
68,68,expansion,banco mundial logra récord 56.000 mdd inversión cfi,"ejercicio financiero finalizar julio 2025 , banco mundial buscar centrar esfuerzo infraestructura , particularmente carretera transporte .",economia,https://expansion.mx/economia/2024/09/24/banco-mundial-creditos-cfi-record-56-000-mdd,24/09/2024
69,69,expansion,chino presentar medida relajación monetario reactivar economía,"banco popular china recortar tipo interés operación doble siete día 0.2 punto porcentual , 1.5% .",economia,https://expansion.mx/economia/2024/09/24/china-presenta-medidas-reactivacion-de-economia,24/09/2024
70,70,expansion,"inflación seguir baja , primero mitad septiembre ubicar 4.66%","índice subyacente terminar primero quincena septiembre 3.95% no subyacente 6.73% , acuerdo dato publicado inegi .",economia,https://expansion.mx/economia/2024/09/24/inflacion-en-mexico-sigue-a-la-baja-inpc-septiembre,24/09/2024
71,71,expansion,"fomentar vivienda interés social eliminar corrupción , reto infonavit","analista señalar instituto tener pendiente materia avanzar digitalización agilización trámite , así mejorar rendimiento subcuenta vivienda .",economia,https://expansion.mx/economia/2024/09/24/pendientes-logros-infonavit,24/09/2024
72,72,expansion,denunciar visa monopolio estados unidos,"departamento justicia estados unidos buscar denunciar empresa monopolio mercado tarjeta débito , acuerdo reporte blomberg .",economia,https://expansion.mx/economia/2024/09/23/denuncian-a-visa-por-monopolio-en-estados-unidos,24/09/2024
73,73,expansion,empresa reactivar anuncio inversión ; confiar sheinbaum,"detener anuncio importante inversión reforma judicial , americar society of mexico informar próximo fecha retomar , cautela .",economia,https://expansion.mx/economia/2024/09/23/empresas-de-eu-reactivaran-anuncios-de-inversion-confian-en-sheinbaum,23/09/2024
74,74,expansion,endeudamiento mexicano exterior representar 35% pib,banco méxico ( banxico ) dar conocer segundo trimestre año reducir endeudamiento mundo 42% reportado primero trimestre .,economia,https://expansion.mx/economia/2024/09/23/deuda-de-mexicanos-en-el-exterior-representa-35-del-pib,23/09/2024
75,75,expansion,auditoría dar ingreso 3.5 billón pesos sat,"recurso , 1426 billón pesos obtener auditoría grande contribuyente , informar fisco .",economia,https://expansion.mx/economia/2024/09/23/auditorias-dan-al-sat-ingresos-por-3-5-billones-de-pesos,23/09/2024
76,76,expansion,economía mexicano crecer 0.6% julio,actividad primario encabezar crecimiento económico país séptimo mes año .,economia,https://expansion.mx/economia/2024/09/23/economia-mexicana-crece-tercer-mes-consecutivo,23/09/2024
77,77,expansion,jubilación digno complicar vez más mexicano,"quinto parte empleado país contemplar jubilar él 66 año más , 86% admitir ahorrar menos deber hacer él actualidad .",economia,https://expansion.mx/economia/2024/09/23/jubilacion-digna-se-complica-para-los-mexicanos,23/09/2024
78,78,expansion,plan sustituir importación asia nearshoring tornar difícil,"primero siete mes año , importación méxico asia alcanzar 141.219 millón dólares ; china representar 51% total .",economia,https://expansion.mx/economia/2024/09/23/plan-sustituir-importaciones-asia-nearshoring-dificil,23/09/2024
79,79,expansion,carlos slim criticar sistema pensión méxico pedir combatir pobreza,hombre más rico méxico decir recurso recibir actualmente mayor 65 año deber usar él sacar 6 millón persona pobreza extremo .,economia,https://expansion.mx/economia/2024/09/22/carlos-slim-critica-pensiones,22/09/2024
80,80,expansion,anuncio inversión méxico sumar 59.900 mdd primero nueve mes 2024,secretaría economía identifico 197 anuncio público enero septiembre . estados unidos encabezar anuncio .,economia,https://expansion.mx/economia/2024/09/22/anuncios-de-inversion-en-mexico-suman-59-900-mdd-en-primeros-nueve-meses-de-2024,22/09/2024
81,81,expansion,chino sufrir exceso ... leche,"mercado leche china enfrentar situación complicado exceso oferta , bajo demanda pérdida millonario .",economia,https://expansion.mx/economia/2024/09/20/china-sufre-por-exceso-de-leche,20/09/2024
82,82,expansion,"eu pedir "" implementación riguroso "" plan certificación aguacate méxico","venta aguacate mexicano estados unidos haber disparar 48% 2019 , alcanzar valor más 3.000 millón dólares año pasado .",economia,https://expansion.mx/economia/2024/09/20/eu-implementacion-rigurosa-certificacion-aguacate-mexico,20/09/2024
83,83,expansion,banquero pedir evitar arbitraje regulatorio licencia bancario,presidente abm decir producto ofrecer institución financiero deber tener regulación igual mantener incentivo inversión país .,economia,https://expansion.mx/economia/2024/09/20/banqueros-evitar-arbitraje-regulatorio-licencias-bancarias,20/09/2024
84,84,expansion,banquero esperar ley secundaria reforma judicial dar certidumbre,"aprobación reforma poder judicial , banquero esperar ley secundario afinar detalle permitir reforma "" exitoso "" .",economia,https://expansion.mx/economia/2024/09/20/banqueros-leyes-secundarias-certidumbre-reforma-judicial,20/09/2024
85,85,expansion,eliminación subsidio gasolina impedir baja precio,"medida disminución estímulo fiscal obedecer más necesidad incrementar recaudación impuesto reducir déficit fiscal , considerar especialista .",economia,https://expansion.mx/economia/2024/09/20/por-que-no-baja-el-precio-de-la-gasolina-en-mexico,20/09/2024
86,86,expansion,méxico impugnacer fallo determinar pago 37 mdd odyssey marine exploration,"empresa estadounidense ganar arbitraje internacional méxico , considerar semarnat negar arbitrariamente permiso proyecto minero marino bajo california sur .",economia,https://expansion.mx/economia/2024/09/19/mexico-impugnara-fallo-pago-de-37-mdd-odyssey-marine,20/09/2024
87,87,expansion,24% crédito hipotecario ser cofinanciar infonavit fovissste,"asociación banco méxico decir enero julio año , 16.100 crédito haber dar banca haber tener cofinanciamiento instituto trabajador .",economia,https://expansion.mx/economia/2024/09/19/creditos-hipotecarios-cofinanciados-infonavit-fovissste,19/09/2024
88,88,expansion,"yellir considerar "" señal mucho positivo "" recorte tasa fed","medida "" reflejar confianza parte fed inflación ceder estar camino meta 2% ( anual ) "" , expresar secretaria tesoro eu .",economia,https://expansion.mx/economia/2024/09/19/yellen-considera-senal-muy-positiva-recorte-de-tasas-de-fed,19/09/2024
89,89,expansion,cnbv buscar regular report ciberseguridad,regulador buscar empresa ofrecer servicio financiero der homologar criterio reportar haber ser víctima ataque cibernético .,economia,https://expansion.mx/economia/2024/09/19/la-cnbv-buscara-regular-reportes-de-ciberseguridad,19/09/2024
90,90,expansion,recorte fed dar margen maniobra banco méxico,"decisión política monetario banco central estadounidense , banxico tener oportunidad mantener amplio diferencial tasa , asegurar analista .",economia,https://expansion.mx/economia/2024/09/19/recorte-fed-margen-maniobra-banxico-politica-monetaria,19/09/2024
91,91,expansion,claudia sheinbaum reunir empresario estados unidos octubre,"medio voz empresarial decir inversión haber detener reforma judicial , marcelo ebrard anunciar asistencia próximo presidenta méxico ceo dialoguir .",economia,https://expansion.mx/economia/2024/09/18/ebrard-anuncia-sheinbaum-reunion-empresas-de-eu,18/09/2024
92,92,expansion,¿ haber mayor brecha salarial género méxico ?,"banxico realizar análisis brecha salarial género región méxico , resultado demostrar norte ser haber mayor diferencia remuneración hombre mujer .",economia,https://expansion.mx/economia/2024/09/18/brecha-salarial-por-genero-en-mexico,18/09/2024
93,93,expansion,¿ ser importante tener seguro negocio ?,"seguro no solo cubrir daño material , también poder asegurar continuidad operación caso siniestro , destacar amis .",economia,https://expansion.mx/economia/2024/09/18/por-que-es-importante-tener-un-seguro-para-tu-negocio,18/09/2024
94,94,expansion,peligrar economía méxico trump gana cumplir arancel : moody's,agencia calificadoro anticipar economía mexicano sufrir recesión 2025 mayor inflación .,economia,https://expansion.mx/economia/2024/09/18/economia-de-mexico-peligra-recesion-si-gana-trump,18/09/2024
95,95,expansion,rappicard alcanzar 5.107 millón pesos cartera crédito,empresa resaltar partir estrategia ser ofrecer proceso solicitud aprobación solo dos minuto entrega tarjeta físico 30 minuto .,economia,https://expansion.mx/economia/2024/09/18/rappicard-alcanza-5107-mdp-cartera-de-credito,18/09/2024
