features,section
ONU formula siete recomendaciones regular IA ONU creó año pasado órgano consultivo 39 miembros abordar problemas regulación internacional IA,Ciencia y Tecnología
caso Caliente TV anunciar apuestas transmitir Champions League compañía ha entrado ‘ guerra del streaming deportivo ’ captar parte este nicho mercado ello consolidar principal negocio apuestas,Ciencia y Tecnología
IA decide eres no apto trabajo ¿ qué hacer vea ? IA sí ha demostrado puede ser aliada espacios aplica sesgos puede presentar aún son inconveniente,Ciencia y Tecnología
Amazon Prime MGM Studios unen MPA empresas entretenimiento unen otras Netflix Paramount Pictures,Ciencia y Tecnología
Amazon lanza nuevo bot ayudará crecer ventas empresa dio conocer Amelia obtener datos venta inventario negocio está plataforma,Ciencia y Tecnología
PlayStation lanza edición limitada aspecto noventero consola evoca al aspecto del primer equipo lanzado Sony 1994 forma parte celebración 30 años,Ciencia y Tecnología
Usuarios reportan alerta sísmica nunca llegó celulares IFT había asegurado hoy empresas enviarían mensajes emergencia sismos nunca llegaron Telcel asegura alertas dependen del regulador,Ciencia y Tecnología
TelevisaUnivision nombra nuevo CEO exdirectivo Google trata Daniel Alegre sustitución Wade Davis cuenta amplia experiencia empresas tecnología trabajando comunidad hispana EU México América Latina,Ciencia y Tecnología
Inversión conectividad no caerá pese política judicial Neutral Networks CEO compañía Neutral Networks enfocada infraestructura crítica dijo necesidad conectividad nivel usuario empresa será más fuerte agendas políticas,Ciencia y Tecnología
Nintendo The Pokémon Company demandan al creador Palworld empresas japonesas iniciaron acción legal Pocketpair debido infracciones patentes al desarrollar llamado Pokémon armas,Ciencia y Tecnología
TelevisaUnivisión sustituirá Wade Davis director general empresa decidió sustituir Davis Daniel Alegre debido algunos resultados compañía cayeron debajo expectativas internas,Ciencia y Tecnología
YouTube presenta IA hacer videos ganar ‘ más ’ dinero empresa llevo cabo Made on YouTube evento también señaló número creadores obtienen mayor parte ingresos viene TV,Ciencia y Tecnología
IA generativa transforma operación ingresos empresariales uso IA generativa ha crecido diversos sectores impulsando innovación facilitando nuevas formas operar organizaciones,Ciencia y Tecnología
Amazon agrega PayPal método pago pedidos Comprar Prime nueva opción estará disponible usuarios realicen compras sitios web terceros membresía Prime,Ciencia y Tecnología
CFE Telecom perfila nuevo CEO impulsar proyecto internet dos fuentes conocimiento del tema al interior compañía ha puesto mesa nombre Emiliano Calderón Mercado ser nuevo CEO estatal telecomunicaciones,Ciencia y Tecnología
"Google salva multa antimonopolio 1,670 mmd caso comenzó supuesto dominio anticompetitivo empresa mercado publicidad línea",Ciencia y Tecnología
e-commerce chino conquista bolsas valores dueños Alibaba Temu JD conquistan e-commerce del mundo mientras diversifican negocios,Ciencia y Tecnología
¿ Cómo funciona canje teléfonos Mercado Libre ? Mercado Libre lanzó nuevo programa llamado Trade in smartphones puedes canjear antiguo celular modelo nuevo,Ciencia y Tecnología
Malware Android permite retirar dinero cajeros automáticos NGate clona datos NFC tarjetas pago retransmite atacante emula tarjeta original realizar retiros dinero cajeros automáticos,Ciencia y Tecnología
Uber Didi operan mismos sitios del AICM pese restricciones usuarios continúan pidiendo servicio taxis aplicación Uber apunta continuará operando regularidad,Ciencia y Tecnología
TikTok vs EU historia antaño no tiene fin claro prohibición llegaría enero 2025 empresa interpuso demanda evitar restricción mientras candidatos presidencia tampoco quieren bloquear,Ciencia y Tecnología
Cómo crear diario personal IA WhatsApp inteligencia artificial WhatsApp Meta AI puede aprovecharse realizar simplificar diferentes tareas Aquí explicamos cómo crear diario personal,Ciencia y Tecnología
Alerta sísmica llegará teléfonos próximo 19 septiembre IFT Telcel AT&amp;T Telefónica Bait comenzarán enviar notificaciones emergencia sismos huracanes inundaciones celulares,Ciencia y Tecnología
iOS 18 qué incluye nueva versión cómo actualizar iPhone todavía no ha integrado Apple Intelligence actualización al sistema operativo integra serie mejoras,Ciencia y Tecnología
Ahora usuarios Uber también deberán verificar identidad Uber implementará nueva verificación identidad pasajeros objetivo ofrecer mayor seguridad conductores evitar fraudes plataforma,Ciencia y Tecnología
Intel Amazon firman acuerdo comercial mercado recibe empresas tecnología trabajarán conjunto coinversión diseños chip personalizados negocio nube big tech AWS,Ciencia y Tecnología
OpenAI crea junta seguridad capaz detener nuevos lanzamientos empresa busca mejorar procesos protección confianza transparencia medio búsqueda nueva ronda financiación multimillonaria,Ciencia y Tecnología
Instagram lanza cuenta adolescentes controles parentales usuarios menores 16 años sólo podrán recibir mensajes ser etiquetados cuentas sigan estén conectados,Ciencia y Tecnología
¿ servicio al cliente manos IA es mejor humanos ? Más mitad profesionales servicio al cliente ocupan algún software impulsado IA espera continúe creciendo,Ciencia y Tecnología
"Intel aplaza proyecto instalar fábricas Alemania Polonia anuncio presenta después revelara empresa recibirá 3,000 millones dólares del gobierno estadounidense fabricar semiconductores",Ciencia y Tecnología
Amazon despide del home office empleados regresan oficina 2025 empresas han permitido muchos empleados trabajen casa pandemia ha dejado oficinas casi vacías varias ciudades San Francisco Seattle,Ciencia y Tecnología
"Rappi considera debutar Bolsa Nueva York año Rappi opera nueve países región es considerada unicornio tecnológico valoración supera 5,000 millones dólares",Ciencia y Tecnología
TikTok Departamento Justicia enfrentan tribunales EU abogados TikTok enfrentarán al Departamento Justicia tribunal Washington destino ley podría prohibir aplicación vídeos cortos,Ciencia y Tecnología
¿ Cómo beneficiaría Altán Redes desaparición del IFT ? eliminación del IFT Ejecutivo tendría facultad adjudicar directamente espectro Altán plan cierre brecha digital volverse más competitiva AT&amp;T Telcel,Ciencia y Tecnología
Telefónica Megacable aplican medidas seguridad Culiacán compañías telecomunicaciones decidieron modificar operación sucursales garantizar seguridad trabajadores entidad ha sido azotada violencia,Ciencia y Tecnología
"Intel logra acuerdo 3,500 mdd fabricar chips ejército trata programa secreto llamado Secure Enclave busca establecer producción chips avanzados aplicaciones militares Inteligencia",Ciencia y Tecnología
Brasil desbloquea cuentas Starlink X transferencia 3 mdd juez del Supremo Tribunal dijo levantamiento ordenó cantidad transferida arcas Brasil alcanzaba total X debía al país concepto multas,Ciencia y Tecnología
"¿ Cuánto da Apple iPhone abonar compra uno nuevo ? programa Trade In recibe equipos iPhone 2020 15 Pro Max bonificación máxima 20,000 pesos",Ciencia y Tecnología
Telmex suspende atención quejas Centros servicios Culiacán Sindicato Telefonistas dijo debido enfrentamientos armados entidad decidió no abrir tiendas centros trabajo resguardar integridad técnicos,Ciencia y Tecnología
¿ Cómo usar nuevas funciones texto Instagram ? nuevas herramientas texto incluyen más fuentes efectos posibilidad agregar texto superpuesto publicaciones del feed,Ciencia y Tecnología
Líderes tecnológicos acudirán Casa Blanca hablar IA CNN Funcionarios alto rango líderes tecnológicos darán cita hablar recursos energéticos infraestructura necesarios impulsar herramienta,Ciencia y Tecnología
OpenAI lanza nueva serie modelos IA capacidad razonamiento modelo conocido internamente strawberry tuvo altas calificaciones pruebas matemáticas codificación empresa reconoce aún puede dar respuestas limitadas,Ciencia y Tecnología
UE ahora va empresas videojuegos Después tener foco torno big tech organismo regulador busca esclarecer prácticas compañías Fortnite,Ciencia y Tecnología
"escritura manual código tiene días contados vaticina CEO NVIDIA Jensen Huang explicó 32,000 ingenieros software estarán acompañados 100 veces más asistentes digitales 24 horas del día 7 días semana",Ciencia y Tecnología
In extremis Águilas rescatan valioso empate 1-1 Necaxa gol agónico Henry Martín América rescató valioso empate 1-1 Necaxa hilvanó tres partidos conocer derrota ayer due-lo correspondiente jornada nueve del torneo Apertura 2024 Liga Mx disputado estadio Victoria Aguascalientes,Deportes
Dubois noquea Joshua retiene cetro pesados Londres Daniel Dubois retuvo título pesados Federación Internacional Boxeo ( FIB ) al noquear quinto asalto al ex bicampeón Anthony Joshua primera defensa cinturón realizada estadio Wembley,Deportes
Copa Laver equipo del resto del mundo tomó ventaja 8-4 Copa Laver selección Europa triunfos estadunidenses Taylor Fritz ( imagen ) Frances Tiafoe alemán Alexander Zverev ruso Daniil Medvedev respectivamente fueron fundamentales comandados John McEnroe tomaran delantera justa define hoy al campeón acumule 13 puntos Berlín,Deportes
Cruz Azul intratable vence 1-0 Chivas afianza superliderato Hay partidos marcan agenda Cruz Azul Después del clásico joven América rivalidad Guadalajara tiene valor especial ese peso escenario importante Máquina volvió cantar victoria estadio Ciudad Deportes ( 1-0 ) mantenerse único líder Liga Mx seguir carrera campeonato,Deportes
Gobierno CDMX premia más millar atletas locales Más millar atletas capitalinos fueron premiados ayer participación Juegos Nacionales Conade,Deportes
Leyendas del pancracio regresan Coliseo Día nacional del luchador hombre otras ocasiones mujer máscara sube al ring arena Coliseo afición ovaciona no importa es rudo técnico todos saben está ese cuadrilátero arriesgar vida medio uno espectáculos más vistosos folclóricos polémicos del deporte lucha libre Místico Octagón Atlantis leyendas disciplina fueron ayer representantes históricos función motivo del Día nacional del luchador lucha libre,Deportes
Jiménez plan goleador brilla triunfo del Fulham Raúl Jiménez anotó nuevo Fulham Liga Premier inglesa delantero mexicano 33 años abrió marcador Craven Cottage Newcastle United encaminó victoria 3-1 quinta fecha,Deportes
Norris consigue pole GP Singapur Checo del top-10 mexicano Sergio Pérez ( Red Bull ) entró socavón Arrancó des-de fondo esperanzado neumáticos ayudarían remontar terminó lejos dos pilotos disputan título mundial Fórmula 1 calificación al Gran Premio Singapur Ubicado lugar 13 tapatío finalizó otra carrera poco memorable respecto del rendimiento Lando Norris ( McLaren ) tricampeón mundial Max Verstappen primero segundo parrilla salida respectivamente,Deportes
Manuel Ahumada dibujante demasiado viejo punk muy joven morir Era demasiado viejo punk muy joven morir dijo Manuel Ahumada ( 1956-2014 ) Gonzalo Rocha ambos moneros colaboradores Jornada día elevó más ahora mira cosmos acompañado dioses aztecas ángeles astronautas del Apolo 11 agregó referencia al día aquél falleció personajes eran frecuentes imaginario obra,Cultura
Elena Poniatowska Grito madrugada del 16 septiembre del 1810 Grito Independencia historia dio cura Miguel Hidalgo Costilla pueblo Dolores Guanajuato rasgó cielo hizo estallara movimiento Independencia,Cultura
Brasil ! Brasil ! revela visión vibrante del Modernismo Berna exposición Brasil ! Brasil ! The Birth of Modernism ( ¡ Brasil ! ¡ Brasil ! nacimiento del Modernismo0 inaugurada Zentrum Paul Klee ofrece visión vibrante ese movimiento artístico país sudamericano largo obra 10 artistas cinco autodidactas poco conocidos internacionalmente Varias 130 obras expuestas han salido Brasil primera vez muestra coincide temáticamente Bienal Venecia más mitad artistas aquí presentes también participan,Cultura
Secretario Arte Cultura Morena rinde informe actividades Secretario Arte Cultura del Comité Ejecutivo Nacional ( CEN ) Morena Tomás Pliego Calvo indicó medio participación 22 comisiones estatales arte cultura artistas creadores promotores gestores culturales colectivos cooperativas organizados partir del plan acción secretaría realizaron tareas actividades defensa Cuarta Transformación ( 4 T ) promoviendo cultura incluyente equitativa luchó lucha clasismo racismo machismo fascismo,Cultura
Entusiastas asistentes OSM festejaron Islas CU 114 años UNAM rugido puma resonó todo volumen este sábado Islas Ciudad Universitaria ( CU ) Universidad Nacional Autónoma México ( UNAM ) celebró 114 aniversario concierto memorable cargo Orquesta Sinfónica Minería ( OSM ),Cultura
tomar cuenta semana inicia darán conocer diversos reportes inflación ventas al menudeo indicador actividad económica balanza comercial anuncio política monetaria otros,Economía
Impulsa CRE infraestructura autos eléctricos disposiciones administrativas materia electromovilidad emitidas Comisión Reguladora Energía ( CRE ) no sólo impulsarán desarrollo infraestructura uso automóviles eléctricos híbridos también ordenamiento Sistema Eléctrico Nacional ( SEN ) acuerdo propio regulador,Economía
Joseph E. Stiglitz Kevin P. Gallagher Martín Guzmán Marilou Uy Especial Jornada FMI debe poner fin destructivos recargos nan,Economía
EU prohibirá software hardware chinos vehículos Washington Departamento Comercio Estados Unidos propondría lunes prohibir software hardware chinos vehículos conectados autónomos carreteras del país debido preocupaciones seguridad nacional dijeron fuentes Reuters,Economía
Cifras verdes * llave programas planeación ciudades inteligentes verdes bicicleta ha recuperado relevancia proyectos urbanos,Economía
Tribunal da 5 días X validar representante legal Brasil Río Janeiro red social X nombró representante legal Brasil exigencias volver funcionar país seguirá suspendida cumplir otros requisitos judiciales Tribunal Supremo Brasil dio plataforma social X propiedad Elon Musk cinco días presentar documentos validen nuevo representante legal país mostró sábado decisión judicial,Economía
Seguridad energética amenazada nivel mundial tensiones geopolíticas WEF transición energética nivel global observa avances particular economías desarrolladas China Brasil No obstante equidad ha retrocedido tensiones geopolíticas causan incertidumbre seguridad energética revela informe del Foro Económico Mundial ( WEF siglas inglés ),Economía
imperio bicicleta recupera terreno Pekín Pekín recién llegado Pekín puede tener cierta paranoia confundida certeza será atropellado Más temprano tarde auto bicicleta motocicleta triciclo podría darle empujón dejarle costado acera sobándose raspones risa asombro buscando curitas tienda conveniencia,Economía
Carlos Slim critica sistema pensiones México pide combatir pobreza hombre más rico México dice recursos reciben actualmente mayores 65 años debería usarse sacar 6 millones personas pobreza extrema,Economía
